contract,method,site,count
compute,Upgrade,startRefreshingLoop.close,1
compute,hashCal,startRefreshingLoop.close,1
erc721,InitContract,startRefreshingLoop.close,1
erc721,balanceOf,startRefreshingLoop.close,1
erc721,getApproved,startRefreshingLoop.close,1
erc721,getTokenLatestTxInfo,startRefreshingLoop.close,1
erc721,mint,startRefreshingLoop.close,1
erc721,mint2,startRefreshingLoop.close,1
erc721,ownerOf,startRefreshingLoop.close,1
erc721,setApprovalForAll2,startRefreshingLoop.close,1
erc721,symbol,startRefreshingLoop.close,1
erc721,testgasJSONMarshal,startRefreshingLoop.close,1
exchange,InitContract,startRefreshingLoop.close,1
exchange,buyNow,startRefreshingLoop.close,1
fact,findByFileHash,startRefreshingLoop.close,1
fact,save,startRefreshingLoop.close,1
fact,saveAndFindByFileHash,startRefreshingLoop.close,1
fact,upgrade,startRefreshingLoop.close,1
identity,InitContract,startRefreshingLoop.close,1
identity,Upgrade,startRefreshingLoop.close,1
identity,addWriteList,startRefreshingLoop.close,1
identity,address,startRefreshingLoop.close,1
identity,isApprovedUser,startRefreshingLoop.close,1
itinerary,Upgrade,startRefreshingLoop.close,1
itinerary,queryHistory,startRefreshingLoop.close,1
itinerary,saveAndQueryHistory,startRefreshingLoop.close,1
raffle,Errorf,startRefreshingLoop.close,1
raffle,InitContract,startRefreshingLoop.close,1
raffle,ParseInt,startRefreshingLoop.close,1
raffle,bigNumCal,startRefreshingLoop.close,1
raffle,formatInt,startRefreshingLoop.close,1
raffle,jsonMarshal,startRefreshingLoop.close,1
raffle,nolib,startRefreshingLoop.close,1
raffle,raffle,startRefreshingLoop.close,1
raffle,stringsJoin,startRefreshingLoop.close,1
