contract,method,run_index,instance_same_all_fields,instance_compare_line,raw_result_line
compute,normalCal,0,true,2026-06-15 17:32:31.557	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:7bcdb8fd4fa440e8b360a53bc7753f85 contract: method:normalCal instanceId:db91e3b43df64c72821176995070b2c0 same_all_fields:true,"2026-06-15 17:32:31.557	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 0 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,1,true,2026-06-15 17:32:31.575	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:312f2e67059e4db192df9607cb83c386 contract: method:normalCal instanceId:23601fb99c454d80a165e5932944f9fa same_all_fields:true,"2026-06-15 17:32:31.575	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 1 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,2,true,2026-06-15 17:32:31.594	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:544ad393bdcd415684169ffe404e3323 contract: method:normalCal instanceId:0845589a38754de5b41539f532d6cb82 same_all_fields:true,"2026-06-15 17:32:31.594	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 2 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,3,true,2026-06-15 17:32:31.617	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:e1b713402903433d994dbe3b1ca08987 contract: method:normalCal instanceId:26d7123b8c25494899e8c1dc51270ba7 same_all_fields:true,"2026-06-15 17:32:31.617	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 3 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,4,true,2026-06-15 17:32:31.636	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:7e4954640b8b410d810c02a45a9bb2b7 contract: method:normalCal instanceId:64f34aa62b8f406f9a78d7c4c4f6a156 same_all_fields:true,"2026-06-15 17:32:31.637	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 4 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,5,true,2026-06-15 17:32:31.655	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:f547b28328b74b4b96ae91c36c5334ba contract: method:normalCal instanceId:db91e3b43df64c72821176995070b2c0 same_all_fields:true,"2026-06-15 17:32:31.655	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 5 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,6,true,2026-06-15 17:32:31.673	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:866ca6c20d214d96812eeb951cec22f1 contract: method:normalCal instanceId:23601fb99c454d80a165e5932944f9fa same_all_fields:true,"2026-06-15 17:32:31.674	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 6 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,7,true,2026-06-15 17:32:31.692	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:3367cdcc718a447699d4296cdec71099 contract: method:normalCal instanceId:0845589a38754de5b41539f532d6cb82 same_all_fields:true,"2026-06-15 17:32:31.692	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 7 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,8,true,2026-06-15 17:32:31.710	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:4f4aee0785044245a5af67af4bad2865 contract: method:normalCal instanceId:26d7123b8c25494899e8c1dc51270ba7 same_all_fields:true,"2026-06-15 17:32:31.710	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 8 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,9,true,2026-06-15 17:32:31.729	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:efa0d2bb6f7741ae90889a84e0303c0b contract: method:normalCal instanceId:64f34aa62b8f406f9a78d7c4c4f6a156 same_all_fields:true,"2026-06-15 17:32:31.729	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 9 contractResult = result:""success normalCal: 666"" gas_used:100000072"
compute,normalCal,10,true,2026-06-15 17:32:31.749	[INFO]	unit_test	v2@v2.4.0/runtime.go:282	instance_compare tx:8e3c1f6b3989403bbeaa84942ed38102 contract: method:normalCal instanceId:db91e3b43df64c72821176995070b2c0 same_all_fields:true,"2026-06-15 17:32:31.749	[INFO]	[Vm]	v2@v2.4.0/runtime_test.go:386	testid = 10 contractResult = result:""success normalCal: 666"" gas_used:100000072"
