contract,method,totalExecutionTime,gas_max,gas_min,gas_minus_spread,gas_spread_ratio
compute,InitContract,0.003471,0,0,0,NaN
compute,Upgrade,0.003368,0,0,0,NaN
compute,bigNumCal,0.089846,34461436,34461358,78,0.000002263404710
compute,hashCal,0.028533,300971,300893,78,0.000259228363571
compute,normalCal,0.087638,100000602,100000602,0,0.000000000000000
erc721,InitContract,0.003224,0,0,0,NaN
erc721,Upgrade,0.003355,0,0,0,NaN
erc721,approve,0.000000,1151,1151,0,0.000000000000000
erc721,balanceOf,0.003944,1772,1772,0,0.000000000000000
erc721,getAccountTokens,0.003394,0,0,0,NaN
erc721,getApproved,0.004307,1116,1116,0,0.000000000000000
erc721,getGasRemaining,0.003960,529,529,0,0.000000000000000
erc721,getTokenLatestTxInfo,0.003304,0,0,0,NaN
erc721,mint,0.006439,22691,17236,5455,0.316488744488280
erc721,mint2,0.004468,10789,5368,5421,1.009873323397914
erc721,name,0.000000,1087,1087,0,0.000000000000000
erc721,ownerOf,0.000000,2040,2040,0,0.000000000000000
erc721,setApprovalForAll2,0.004485,1832,1832,0,0.000000000000000
erc721,symbol,0.000000,1087,1087,0,0.000000000000000
erc721,testgasJSONMarshal,0.005097,21333,15878,5455,0.343557123063358
erc721,testgasJSONUnmarshal,0.003839,664,460,204,0.443478260869565
erc721,tokenMetadata,0.000000,2053,2053,0,0.000000000000000
erc721,tokenURI,0.004434,1380,1380,0,0.000000000000000
erc721,transferFrom,0.004861,5042,5042,0,0.000000000000000
exchange,InitContract,0.003154,0,0,0,NaN
exchange,Upgrade,0.003141,0,0,0,NaN
exchange,buyNow,0.000000,1327,1327,0,0.000000000000000
fact,findByFileHash,0.004710,2245,2245,0,0.000000000000000
fact,initContract,0.003195,0,0,0,NaN
fact,save,0.000000,633,633,0,0.000000000000000
fact,saveAndFindByFileHash,0.005196,6280,4731,1549,0.327414922849292
fact,upgrade,0.003972,0,0,0,NaN
identity,InitContract,0.003485,0,0,0,NaN
identity,Upgrade,0.003630,0,0,0,NaN
identity,addWriteList,0.031019,122767,122767,0,0.000000000000000
identity,address,0.000000,0,0,0,NaN
identity,alterAdminAddress,0.000000,0,0,0,NaN
identity,callerAddress,0.000000,0,0,0,NaN
identity,isApprovedUser,0.030988,58676,58676,0,0.000000000000000
identity,removeWriteList,0.008779,58267,58267,0,0.000000000000000
itinerary,InitContract,0.003382,0,0,0,NaN
itinerary,Upgrade,0.003192,0,0,0,NaN
itinerary,queryHistory,0.000000,0,0,0,NaN
itinerary,save,0.000000,80226,6668,73558,11.031493701259748
itinerary,saveAndQueryHistory,0.000000,5823,5823,0,0.000000000000000
raffle,Errorf,0.003394,0,0,0,NaN
raffle,InitContract,0.003469,0,0,0,NaN
raffle,ParseInt,0.003430,0,0,0,NaN
raffle,Sprintf,0.003534,0,0,0,NaN
raffle,Upgrade,0.003360,0,0,0,NaN
raffle,bigNumCal,0.003930,3532,3532,0,0.000000000000000
raffle,formatInt,0.003698,143,143,0,0.000000000000000
raffle,hashCal,0.028286,300042,300000,42,0.000140000000000
raffle,jsonMarshal,0.003368,549,171,378,2.210526315789474
raffle,jsonUnmarshal,0.003559,664,460,204,0.443478260869565
raffle,nolib,0.003617,1,1,0,0.000000000000000
raffle,normalCal,0.012358,10000002,10000002,0,0.000000000000000
raffle,query,0.004000,1076,1076,0,0.000000000000000
raffle,raffle,0.000000,2374,1846,528,0.286023835319610
raffle,registRaffle,0.006353,23498,16693,6805,0.407655903672198
raffle,registerAll,0.000000,2745,2745,0,0.000000000000000
raffle,stringsJoin,0.003685,103,103,0,0.000000000000000
raffle,testgasWarmUp,0.036724,10305241,10304863,378,0.000036681710373
